product_id,tn
20001,1499.5916
20002,1086.8175
20003,891.15915
20004,636.1660400000001
20005,592.04607
20006,417.07544
20007,387.16515
20008,194.91894
20009,493.45076
20010,351.71137
20011,383.93082
20012,167.02685
20013,314.29125
20014,271.71144
20015,294.51008
20016,271.67868
20017,215.52755
20018,141.47886
20019,347.88852
20020,262.13239
20021,170.30832
20022,201.08523
20023,179.90427
20024,267.10866
20025,237.72294
20026,233.09557999999998
20027,154.94114
20028,105.11046
20029,149.08029
20030,98.7168
20031,138.34329
20032,522.04022
20033,96.70752
20035,174.50164
20037,63.21505
20038,155.30858
20039,123.23659
20041,94.32263999999999
20042,121.70326
20043,88.63545
20044,59.17643
20045,148.51041
20046,149.81365
20047,69.46044
20049,123.64716
20050,103.32938
20051,131.81823
20052,92.68851
20053,146.30466
20054,120.43901
20055,64.78621
20056,59.64504
20057,141.11794
20058,116.83919
20059,109.12284
20061,105.61295
20062,90.84673000000001
20063,101.16423999999999
20065,77.7231
20066,112.85164
20067,86.6611
20068,92.80779
20069,130.43727
20070,68.12897
20071,102.48207
20072,31.4496
20073,120.85820999999999
20074,96.27553
20075,103.99446
20076,68.21105
20077,31.90039
20079,27.19356
20080,8.446169999999999
20081,93.78369
20082,67.98576
20084,94.0275
20085,217.44594
20086,42.232079999999996
20087,87.55763999999999
20089,100.48979
20090,35.73643
20091,90.40888
20092,47.05155
20093,69.70509
20094,58.02152
20095,28.3033
20096,44.00155
20097,55.06772
20099,56.78627
20100,1.3791999999999998
20101,69.73785000000001
20102,18.752290000000002
20103,61.31704
20106,71.47413
20107,85.2556
20108,57.8891
20109,61.56438
20111,91.44822
20112,106.57709
20114,42.55524
20116,117.02335000000001
20117,35.36807
20118,60.70169
20119,36.24082
20120,72.06326
20121,78.50348000000001
20122,64.15712
20123,55.38897
20124,37.08404
20125,47.05155
20126,88.94084
20127,84.2062
20129,52.56124
20130,82.29959
20132,40.04793
20133,30.49137
20134,48.84516
20135,99.7099
20137,37.3031
20138,27.80827
20139,52.956540000000004
20140,57.54294
20142,35.74472
20143,28.9407
20144,40.21158
20145,62.59762
20146,30.324840000000002
20148,56.77006
20150,49.21186
20151,43.902969999999996
20152,23.586389999999998
20153,46.46072
20155,60.76527
20157,54.22197
20158,54.97947
20159,59.64696
20160,42.28712
20161,34.57896
20162,50.14223
20164,67.0397
20166,32.9402
20167,43.60849
20168,13.69357
20170,62.66584
20174,89.34332
20175,19.10164
20176,23.28791
20177,24.3759
20179,39.0358
20180,36.77843
20181,33.08833
20182,20.78584
20183,20.398039999999998
20184,25.79097
20187,19.79515
20188,22.57813
20189,32.39272
20192,21.35394
20193,24.68833
20196,34.8985
20197,27.54627
20198,22.198819999999998
20200,20.50678
20201,25.73439
20202,23.95456
20203,54.818400000000004
20205,26.07702
20206,23.3142
20207,17.70924
20208,19.79235
20209,15.23758
20210,34.07921
20211,15.90391
20212,22.326140000000002
20213,56.5302
20215,22.76763
20216,9.11138
20218,31.27923
20219,22.90551
20220,19.2399
20222,20.6178
20224,20.87085
20225,16.44003
20226,11.10378
20227,37.22649
20228,5.0123
20230,17.86309
20231,21.22861
20232,28.12719
20233,35.2766
20234,4.7682
20235,31.338469999999997
20236,33.04084
20237,28.298930000000002
20238,16.46671
20239,19.91875
20240,19.51977
20241,12.5971
20242,3.93994
20244,26.2953
20246,24.37688
20249,7.34489
20251,14.67635
20252,12.00919
20253,15.06106
20254,17.31546
20255,11.366050000000001
20256,17.33168
20257,48.00953
20259,12.31604
20261,42.05397
20262,25.40537
20263,20.67606
20264,16.30505
20265,3.8027400000000005
20266,48.82878
20267,17.85861
20268,11.71626
20269,18.92784
20270,6.219010000000001
20271,7.91747
20272,12.5995
20273,12.13305
20275,14.86328
20276,18.03138
20277,9.51678
20278,6.19954
20280,16.760930000000002
20281,9.27323
20282,12.64952
20283,12.47758
20284,11.507900000000001
20285,4.3239
20286,48.90642
20288,18.91215
20289,9.86895
20290,21.09929
20291,9.59023
20292,9.3862
20295,5.990130000000001
20296,18.507089999999998
20297,34.53282
20298,11.19605
20299,10.46682
20300,17.02109
20301,8.09885
20302,2.32263
20303,18.35277
20304,5.83128
20305,2.51206
20306,31.954810000000002
20307,12.9995
20309,8.10089
20310,9.661
20311,17.95066
20313,20.21292
20314,18.80225
20315,16.43751
20316,27.022060000000003
20317,14.68266
20319,11.75595
20320,13.37004
20321,27.508290000000002
20322,5.40916
20323,24.33327
20324,10.48297
20325,5.162940000000001
20326,15.54826
20327,11.60577
20328,9.14277
20329,10.74854
20330,13.63739
20332,12.55906
20334,0.18227000000000002
20335,11.65947
20336,8.46526
20337,13.49273
20338,7.8026100000000005
20340,7.72055
20341,7.50514
20342,11.969050000000001
20343,11.681840000000001
20344,15.77085
20346,14.904219999999999
20348,11.66961
20349,16.80383
20350,1.22402
20351,13.68599
20352,17.02981
20353,6.53185
20354,12.161200000000001
20355,25.26196
20356,13.44813
20357,17.97207
20358,10.67976
20359,13.99698
20361,12.002930000000001
20362,6.26533
20364,28.59891
20365,10.78018
20366,10.09439
20367,9.52675
20368,9.96104
20372,4.63115
20375,4.29376
20377,7.16431
20378,7.1349100000000005
20379,6.21403
20380,14.42091
20381,17.71533
20382,8.86285
20383,7.27404
20384,6.193709999999999
20385,7.35556
20386,11.15582
20387,8.42678
20388,6.399120000000001
